ONET Title	R	I	A	S	E	C
Loss Prevention Managers	3.67	2.0	1.0	2.67	7.0	6.0
Wind Energy Operations Managers	4.0	3.0	1.67	1.33	6.67	5.67
Wind Energy Project Managers	2.33	4.33	2.33	2.0	7.0	4.67
Brownfield Redevelopment Specialists and Site Managers	3.0	5.33	2.0	1.67	6.67	4.67
Agents and Business Managers of Artists, Performers, and Athletes	1.33	1.33	3.0	4.33	7.0	4.67
Buyers and Purchasing Agents, Farm Products	4.0	1.33	1.67	2.67	6.33	6.0
Wholesale and Retail Buyers, Except Farm Products	3.33	2.0	1.33	2.33	7.0	5.67
Purchasing Agents, Except Wholesale, Retail, and Farm Products	3.67	2.67	1.0	2.0	6.33	6.67
Claims Examiners, Property and Casualty Insurance	2.67	3.33	1.33	2.67	5.33	6.67
Insurance Adjusters, Examiners, and Investigators	2.67	2.67	1.33	2.67	5.33	6.67
Insurance Appraisers, Auto Damage	5.67	2.0	1.0	2.33	4.33	6.67
Environmental Compliance Inspectors	5.0	6.0	2.0	2.0	2.0	6.0
Licensing Examiners and Inspectors	2.33	1.67	1.0	3.0	6.0	6.0
Equal Opportunity Representatives and Officers	1.0	3.0	2.33	6.33	6.0	4.33
Government Property Inspectors and Investigators	3.67	3.0	1.0	2.0	4.33	6.67
Coroners	5.0	6.67	1.33	2.33	3.67	5.0
Regulatory Affairs Specialists	1.67	2.0	1.0	1.33	5.67	6.33
Cost Estimators	3.0	2.67	1.0	1.33	6.0	6.0
Human Resources Specialists	1.0	2.67	2.67	4.0	6.0	4.67
Farm Labor Contractors	3.0	1.0	1.0	3.0	7.0	2.33
Labor Relations Specialists	1.0	3.0	2.33	4.33	6.33	4.67
Logisticians	2.33	2.33	1.33	3.33	7.0	5.67
Logistics Engineers	4.33	7.0	2.33	1.0	3.33	5.33
Logistics Analysts	2.67	3.33	1.33	1.33	4.33	6.0
Management Analysts	1.33	6.33	1.67	2.33	6.0	4.33
Meeting, Convention, and Event Planners	1.67	1.33	2.33	4.33	7.0	5.0
Fundraisers	1.0	2.0	4.67	3.33	6.67	5.0
Compensation, Benefits, and Job Analysis Specialists	2.33	2.67	1.67	2.67	6.33	6.33
Training and Development Specialists	1.33	2.33	4.67	6.67	4.0	4.67
Market Research Analysts and Marketing Specialists	1.33	6.67	1.67	1.33	5.0	4.0
Energy Auditors	3.33	2.67	1.0	1.33	4.67	7.0
Security Management Specialists	5.33	5.0	2.33	1.33	2.67	4.67
Customs Brokers	2.0	1.0	1.33	3.0	6.33	5.67
Business Continuity Planners	1.0	4.33	2.0	1.67	6.67	4.0
Sustainability Specialists	1.67	4.33	3.67	2.33	5.67	3.0
Online Merchants	4.0	1.33	1.67	2.33	7.0	5.67
Accountants	1.33	3.0	1.0	1.67	4.0	7.0
Auditors	1.67	3.67	1.0	2.0	5.67	7.0
Assessors	3.0	3.67	1.0	1.33	5.33	5.67
Appraisers, Real Estate	3.67	2.0	1.0	2.33	6.0	5.67
Budget Analysts	1.67	4.0	1.33	2.33	5.67	7.0
Credit Analysts	2.67	3.0	1.0	3.0	5.33	7.0
Financial Analysts	2.67	5.67	2.33	1.0	5.0	6.67
Personal Financial Advisors	1.0	3.0	1.33	3.67	6.67	5.67
Insurance Underwriters	1.33	3.33	1.0	2.33	4.67	6.33
Financial Examiners	1.33	3.0	1.33	2.0	6.67	5.67
Credit Counselors	1.0	2.33	2.0	5.33	5.33	5.33
Loan Counselors	1.0	2.0	1.67	5.33	6.33	4.33
Loan Officers	1.0	2.67	1.0	4.0	6.0	6.67
Tax Examiners and Collectors, and Revenue Agents	2.67	2.0	1.0	3.33	5.67	7.0
Tax Preparers	1.67	1.33	1.0	2.67	4.67	7.0
Financial Quantitative Analysts	2.33	6.67	3.67	1.33	3.0	5.67
Risk Management Specialists	2.67	4.67	1.33	1.33	5.67	7.0
Investment Underwriters	2.33	3.0	1.0	2.33	6.33	6.67
Fraud Examiners, Investigators and Analysts	2.33	5.67	1.0	1.33	6.33	3.67
Computer and Information Research Scientists	5.0	7.0	4.33	1.0	1.67	4.33
Computer Systems Analysts	4.33	6.33	1.67	2.0	3.33	6.33
Informatics Nurse Specialists	3.0	5.0	2.0	5.33	2.67	3.33
Information Security Analysts	4.67	5.33	1.67	2.33	2.33	6.33
Computer Programmers	3.33	7.0	3.0	2.0	2.0	5.67
Software Developers, Applications	5.0	6.67	2.33	1.0	2.67	4.67
Software Developers, Systems Software	4.0	7.0	2.67	2.33	1.67	5.67
Web Developers	4.33	5.0	4.0	1.0	3.33	5.33
Database Administrators	3.33	5.33	2.33	2.33	3.67	7.0
Network and Computer Systems Administrators	5.67	6.0	1.67	2.0	4.0	4.67
Computer Network Architects	4.0	6.0	2.33	2.0	5.33	6.0
Telecommunications Engineering Specialists	6.0	3.0	1.33	1.33	5.33	3.67
Computer User Support Specialists	5.67	5.33	1.67	4.33	2.67	5.33
Computer Network Support Specialists	6.0	2.67	1.33	1.33	4.0	3.67
Software Quality Assurance Engineers and Testers	4.33	6.33	2.0	1.0	1.67	6.0
Computer Systems Engineers/Architects	5.67	6.33	2.67	1.0	1.67	4.33
Web Administrators	4.0	4.33	2.0	1.0	4.67	6.33
Geospatial Information Scientists and Technologists	5.33	7.0	2.33	1.0	2.0	5.0
Geographic Information Systems Technicians	5.0	5.67	1.67	1.33	2.0	4.33
Database Architects	2.67	5.33	2.67	1.67	3.67	4.0
Data Warehousing Specialists	1.67	5.67	2.0	1.67	3.0	4.67
Business Intelligence Analysts	1.67	5.67	2.33	1.67	5.33	4.0
Information Technology Project Managers	1.67	3.0	2.0	2.0	6.67	3.33
Search Marketing Strategists	1.33	4.33	2.67	1.67	5.33	3.67
Video Game Designers	2.0	3.0	6.0	1.67	4.67	3.33
Document Management Specialists	2.0	3.0	2.0	2.33	2.67	7.0
Actuaries	2.0	4.33	1.67	1.0	3.33	6.0
Mathematicians	1.67	7.0	4.0	1.0	1.67	4.67
Operations Research Analysts	3.0	6.33	2.67	1.67	4.67	5.33
Statisticians	2.33	6.0	2.0	1.0	2.0	6.33
Biostatisticians	3.0	6.67	2.0	1.67	1.0	5.33
Clinical Data Managers	2.67	5.33	1.33	2.33	3.0	7.0
Mathematical Technicians	5.67	6.33	2.33	1.33	1.33	5.33
Architects, Except Landscape and Naval	4.0	5.0	6.67	1.67	4.0	2.33
Landscape Architects	5.0	5.33	6.33	1.67	4.0	2.33
Cartographers and Photogrammetrists	5.67	5.33	3.33	1.0	2.0	5.33
Surveyors	6.67	5.0	3.33	1.33	2.0	5.0
Geodetic Surveyors	4.33	5.0	1.33	1.0	1.67	5.0
Aerospace Engineers	5.67	7.0	3.67	1.33	2.33	3.0
Agricultural Engineers	6.33	6.67	3.0	1.33	4.33	3.0
Biomedical Engineers	5.67	7.0	2.67	2.0	2.33	3.67
Chemical Engineers	6.33	6.67	2.0	1.0	3.0	3.67
Civil Engineers	6.67	6.0	2.67	1.33	2.67	4.33
Transportation Engineers	6.67	6.0	2.0	1.33	3.33	3.67
Computer Hardware Engineers	6.33	6.67	2.0	1.0	2.33	4.33
Electrical Engineers	6.0	6.33	2.0	1.0	3.0	3.67
Electronics Engineers, Except Computer	5.67	7.0	4.0	2.0	2.67	3.67
Radio Frequency Identification Device Specialists	6.33	5.33	2.0	1.0	2.33	3.67
Environmental Engineers	4.67	7.0	3.0	1.67	3.67	4.33
Water/Wastewater Engineers	5.67	6.33	2.33	1.67	4.0	3.33
Industrial Safety and Health Engineers	5.0	6.33	1.67	2.67	3.0	5.33
Fire-Prevention and Protection Engineers	5.33	6.67	2.0	2.33	4.67	4.0
Product Safety Engineers	5.67	6.0	1.0	1.33	3.33	4.67
Industrial Engineers	4.33	7.0	2.0	1.33	4.67	4.67
Human Factors Engineers and Ergonomists	5.33	6.0	2.33	2.67	3.0	3.0
Marine Engineers	6.0	6.67	2.67	1.0	3.67	3.67
Marine Architects	5.33	7.0	5.33	1.33	2.0	3.0
Materials Engineers	6.0	7.0	2.67	1.33	4.33	3.33
Mechanical Engineers	6.33	6.67	2.67	2.0	1.67	4.0
Fuel Cell Engineers	6.0	5.67	2.0	1.67	3.33	3.0
Automotive Engineers	7.0	6.0	2.33	1.33	3.67	3.33
Mining and Geological Engineers, Including Mining Safety Engineers	5.67	6.33	1.67	1.33	4.33	3.67
Nuclear Engineers	5.33	7.0	1.67	1.0	2.33	3.67
Petroleum Engineers	5.33	6.67	1.67	1.0	3.33	5.0
Biochemical Engineers	6.0	6.67	2.33	1.33	2.67	3.67
Validation Engineers	5.33	6.0	2.33	1.33	2.67	4.33
Energy Engineers	6.0	7.0	3.0	1.0	1.67	3.33
Manufacturing Engineers	6.67	6.0	2.0	1.0	3.33	3.67
Mechatronics Engineers	5.33	7.0	3.67	1.0	1.67	4.0
Microsystems Engineers	6.0	7.0	2.33	1.0	1.67	4.0
Photonics Engineers	5.33	7.0	4.0	1.33	1.67	4.0
Robotics Engineers	6.0	6.67	2.67	1.0	1.67	4.0
Nanosystems Engineers	5.0	6.67	2.67	1.33	4.67	3.0
Wind Energy Engineers	6.0	4.33	2.0	1.33	4.0	3.33
Solar Energy Systems Engineers	6.33	5.67	2.0	1.33	3.33	3.33
Architectural Drafters	5.33	4.67	5.67	1.33	2.33	4.33
Civil Drafters	6.33	4.0	3.67	1.33	2.0	6.0
Electronic Drafters	5.33	4.33	4.0	1.67	1.67	6.0
Electrical Drafters	6.0	4.67	3.33	1.33	2.0	4.67
Mechanical Drafters	6.67	4.0	3.33	1.0	2.33	4.0
Aerospace Engineering and Operations Technicians	6.67	6.0	1.67	1.33	2.33	5.0
Civil Engineering Technicians	6.0	5.0	2.67	1.0	2.33	5.33
Electronics Engineering Technicians	6.67	5.67	2.0	1.0	2.67	3.67
Electrical Engineering Technicians	7.0	6.0	2.33	1.0	2.33	4.33
Electro-Mechanical Technicians	7.0	5.33	2.33	1.33	1.33	5.0
Robotics Technicians	6.67	4.33	2.0	1.0	1.67	3.0
Environmental Engineering Technicians	7.0	5.67	1.67	1.0	2.0	5.33
Industrial Engineering Technicians	5.0	6.33	1.67	1.33	3.33	5.0
Mechanical Engineering Technicians	6.0	6.0	3.33	1.0	1.67	3.67
Automotive Engineering Technicians	6.67	3.67	1.33	1.33	2.67	3.67
Non-Destructive Testing Specialists	6.67	6.33	1.67	1.0	2.67	4.33
Electrical Engineering Technologists	6.67	5.33	2.0	1.33	2.67	4.0
Electromechanical Engineering Technologists	6.0	6.0	3.0	1.0	2.33	4.33
Electronics Engineering Technologists	6.33	6.0	1.67	1.0	2.33	4.0
Industrial Engineering Technologists	5.33	6.0	2.67	1.0	2.0	5.33
Manufacturing Engineering Technologists	6.33	5.67	2.0	1.0	2.67	4.67
Mechanical Engineering Technologists	6.67	5.0	1.67	1.33	2.67	3.67
Photonics Technicians	7.0	5.33	2.33	1.0	1.33	4.0
Manufacturing Production Technicians	7.0	3.33	1.33	1.33	2.0	3.0
Fuel Cell Technicians	7.0	3.33	1.33	1.33	3.0	4.33
Nanotechnology Engineering Technologists	6.0	4.67	1.67	1.33	2.0	4.33
Nanotechnology Engineering Technicians	6.0	3.33	1.33	1.33	2.0	4.33
Surveying Technicians	5.67	3.33	2.0	1.0	2.0	5.67
Mapping Technicians	4.33	3.0	1.67	1.0	1.67	6.67
Animal Scientists	5.33	7.0	2.33	1.0	2.0	3.0
Food Scientists and Technologists	5.33	7.0	3.0	1.33	2.33	4.33
Soil and Plant Scientists	5.67	7.0	3.67	3.0	1.67	3.0
Biologists	4.0	7.0	1.67	1.33	3.0	3.33
Biochemists and Biophysicists	4.67	7.0	5.0	1.33	1.67	3.33
Microbiologists	4.67	7.0	1.33	1.67	2.0	3.0
Zoologists and Wildlife Biologists	5.33	7.0	2.33	1.67	2.67	3.0
Bioinformatics Scientists	4.33	7.0	3.0	1.67	1.0	5.0
Molecular and Cellular Biologists	5.33	7.0	4.67	1.33	1.0	3.0
Geneticists	4.33	7.0	4.33	2.0	1.33	3.0
Soil and Water Conservationists	5.33	5.33	2.0	2.0	5.33	2.67
Range Managers	6.0	6.0	1.33	1.67	4.67	3.67
Park Naturalists	4.67	3.67	4.33	7.0	3.67	1.67
Foresters	6.67	5.67	1.33	2.33	4.0	3.0
Epidemiologists	3.67	7.0	1.67	4.0	3.0	3.33
Medical Scientists, Except Epidemiologists	4.33	7.0	4.33	4.0	1.67	2.33
Astronomers	4.67	7.0	5.0	2.67	1.67	2.67
Physicists	4.0	7.0	3.33	1.0	2.0	3.0
Atmospheric and Space Scientists	4.33	6.67	2.33	3.67	3.0	3.67
Chemists	4.0	7.0	2.0	1.0	2.0	3.33
Materials Scientists	5.0	7.0	2.67	1.33	3.67	3.33
Environmental Scientists and Specialists, Including Health	5.33	7.0	3.33	1.67	1.67	4.0
Climate Change Analysts	2.0	6.0	2.67	2.0	4.67	3.0
Environmental Restoration Planners	6.0	6.0	2.33	2.0	5.33	2.33
Industrial Ecologists	2.33	6.67	2.33	1.67	4.0	2.67
Geoscientists, Except Hydrologists and Geographers	5.0	7.0	3.0	1.33	2.33	3.33
Hydrologists	5.33	7.0	3.0	1.33	2.67	3.0
Remote Sensing Scientists and Technologists	6.33	6.0	2.33	1.0	1.67	3.33
Economists	2.33	7.0	2.67	1.67	4.0	4.67
Environmental Economists	1.33	7.0	2.0	2.0	3.67	3.33
Survey Researchers	1.0	6.67	2.0	1.33	4.67	5.0
School Psychologists	1.33	7.0	3.67	6.0	1.67	3.67
Clinical Psychologists	1.67	6.67	5.0	6.0	2.67	1.67
Counseling Psychologists	1.33	6.0	4.33	6.33	2.67	2.33
Industrial-Organizational Psychologists	1.0	6.33	4.0	4.0	5.33	2.67
Neuropsychologists and Clinical Neuropsychologists	2.67	7.0	4.33	5.0	1.0	2.0
Sociologists	1.67	7.0	5.33	4.67	1.67	2.67
Urban and Regional Planners	3.0	6.67	4.0	2.0	4.67	3.0
Anthropologists	2.67	6.67	5.33	3.67	2.33	3.33
Archeologists	5.33	7.0	4.67	2.0	2.33	3.67
Geographers	4.67	7.0	4.0	2.67	1.0	3.33
Historians	1.0	6.67	2.67	2.67	2.67	3.0
Political Scientists	1.67	7.0	5.33	4.33	2.33	2.0
Transportation Planners	3.67	6.33	2.67	1.67	2.33	4.0
Agricultural Technicians	6.33	5.0	1.0	1.33	2.33	4.33
Food Science Technicians	5.67	5.0	1.67	1.0	1.67	5.0
Biological Technicians	6.33	5.0	1.33	1.67	2.33	4.67
Chemical Technicians	5.67	6.0	1.33	1.0	2.0	4.0
Geophysical Data Technicians	5.67	5.0	1.33	1.33	2.67	6.67
Geological Sample Test Technicians	6.0	5.67	1.0	1.0	1.67	3.67
Nuclear Equipment Operation Technicians	7.0	5.0	1.67	1.33	2.0	5.33
Nuclear Monitoring Technicians	6.33	4.67	1.33	1.33	3.33	5.33
Social Science Research Assistants	1.67	5.0	2.33	2.67	2.0	6.33
City and Regional Planning Aides	4.0	3.67	1.67	3.0	3.67	7.0
Environmental Science and Protection Technicians, Including Health	5.33	6.0	1.33	1.33	2.33	3.67
Forensic Science Technicians	5.33	6.67	2.33	1.33	1.33	5.0
Forest and Conservation Technicians	5.33	4.0	2.67	3.33	4.0	3.0
Quality Control Analysts	4.67	5.33	1.33	1.0	2.67	6.33
Precision Agriculture Technicians	6.0	5.67	1.67	1.0	2.67	4.67
Remote Sensing Technicians	6.67	5.67	1.67	2.0	2.0	4.67
Substance Abuse and Behavioral Disorder Counselors	1.33	4.0	4.33	7.0	3.0	2.0
Educational, Guidance, School, and Vocational Counselors	1.0	3.33	3.67	7.0	3.67	3.33
Marriage and Family Therapists	1.0	4.0	4.33	7.0	2.67	2.33
Mental Health Counselors	1.33	4.67	4.0	7.0	2.33	2.33
Rehabilitation Counselors	1.0	4.0	3.67	7.0	3.33	3.33
Child, Family, and School Social Workers	1.0	3.33	3.67	7.0	4.33	3.0
Healthcare Social Workers	1.0	4.0	3.33	7.0	3.33	3.0
Mental Health and Substance Abuse Social Workers	1.0	4.67	4.33	7.0	2.67	3.0
Health Educators	1.67	3.33	3.33	7.0	4.33	2.67
Probation Officers and Correctional Treatment Specialists	1.33	2.33	2.33	6.67	5.0	4.67
Social and Human Service Assistants	1.67	2.0	1.67	6.0	4.33	6.33
Community Health Workers	2.0	3.33	2.67	7.0	3.33	3.0
Clergy	1.0	2.0	4.67	7.0	4.67	2.67
Directors, Religious Activities and Education	1.33	1.0	2.67	6.0	7.0	4.0
Lawyers	1.33	4.67	4.0	3.33	7.0	3.67
Judicial Law Clerks	1.0	4.0	2.0	2.0	5.33	5.67
Administrative Law Judges, Adjudicators, and Hearing Officers	1.0	5.0	3.0	4.0	6.67	3.33
Arbitrators, Mediators, and Conciliators	1.0	2.67	3.33	6.67	6.33	4.0
Judges, Magistrate Judges, and Magistrates	1.33	3.67	2.0	5.67	7.0	4.0
Paralegals and Legal Assistants	1.0	5.0	1.67	2.0	4.33	5.67
Court Reporters	1.33	1.67	2.33	2.67	3.33	6.33
Title Examiners, Abstractors, and Searchers	4.0	2.33	1.0	2.0	5.0	7.0
Business Teachers, Postsecondary	1.0	4.0	3.33	7.0	4.33	3.67
Computer Science Teachers, Postsecondary	3.0	5.67	3.33	6.67	1.67	5.0
Mathematical Science Teachers, Postsecondary	1.33	5.67	4.0	6.33	1.67	4.0
Architecture Teachers, Postsecondary	3.33	3.0	5.33	7.0	2.33	2.67
Engineering Teachers, Postsecondary	4.33	5.67	3.0	6.67	2.67	3.0
Agricultural Sciences Teachers, Postsecondary	4.67	6.0	3.33	6.67	2.33	3.0
Biological Science Teachers, Postsecondary	3.33	6.33	3.67	6.67	2.33	2.33
Forestry and Conservation Science Teachers, Postsecondary	4.33	6.0	3.33	6.33	2.33	2.67
Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	3.33	6.33	4.0	6.67	3.0	2.0
Chemistry Teachers, Postsecondary	4.67	6.33	3.67	6.67	2.67	2.33
Environmental Science Teachers, Postsecondary	3.0	6.0	4.33	7.0	2.67	1.67
Physics Teachers, Postsecondary	3.67	6.0	3.33	6.33	2.67	2.33
Anthropology and Archeology Teachers, Postsecondary	2.33	5.33	3.67	7.0	2.67	2.67
Area, Ethnic, and Cultural Studies Teachers, Postsecondary	1.67	6.0	4.33	6.67	2.33	2.33
Economics Teachers, Postsecondary	1.0	5.33	3.67	7.0	3.33	3.0
Geography Teachers, Postsecondary	2.67	6.0	4.33	7.0	2.0	3.67
Political Science Teachers, Postsecondary	1.0	3.33	4.0	7.0	4.67	3.0
Psychology Teachers, Postsecondary	1.33	6.33	4.33	6.67	3.0	3.0
Sociology Teachers, Postsecondary	1.0	5.0	4.0	7.0	2.33	2.67
Health Specialties Teachers, Postsecondary	1.67	6.0	3.67	6.67	2.33	2.67
Nursing Instructors and Teachers, Postsecondary	2.33	5.67	3.67	7.0	2.33	2.0
Education Teachers, Postsecondary	1.33	4.0	4.33	7.0	3.0	2.67
Library Science Teachers, Postsecondary	1.67	5.67	4.0	6.67	2.0	4.33
Criminal Justice and Law Enforcement Teachers, Postsecondary	2.67	5.67	3.0	6.67	3.0	1.67
Law Teachers, Postsecondary	1.0	5.67	3.67	6.67	5.0	2.67
Social Work Teachers, Postsecondary	1.33	5.67	4.0	7.0	3.0	3.0
Art, Drama, and Music Teachers, Postsecondary	3.33	3.67	6.33	6.67	2.67	2.67
Communications Teachers, Postsecondary	1.0	4.0	4.67	7.0	3.67	3.33
English Language and Literature Teachers, Postsecondary	1.33	4.33	5.67	6.33	2.0	2.67
Foreign Language and Literature Teachers, Postsecondary	1.33	5.33	5.33	7.0	3.0	2.67
History Teachers, Postsecondary	2.0	5.33	4.0	6.67	2.0	3.33
Philosophy and Religion Teachers, Postsecondary	1.0	4.33	5.0	7.0	2.67	2.33
Graduate Teaching Assistants	1.33	2.0	3.33	6.33	3.0	4.0
Home Economics Teachers, Postsecondary	1.67	5.0	4.33	6.67	2.67	2.67
Recreation and Fitness Studies Teachers, Postsecondary	4.0	3.67	4.0	6.67	2.67	2.67
Vocational Education Teachers, Postsecondary	5.33	2.67	2.67	7.0	3.33	2.33
Preschool Teachers, Except Special Education	2.0	2.67	5.67	7.0	3.33	2.0
Kindergarten Teachers, Except Special Education	1.67	2.33	4.67	7.0	3.33	2.67
Elementary School Teachers, Except Special Education	1.33	3.67	4.33	7.0	2.33	4.0
Middle School Teachers, Except Special and Career/Technical Education	2.33	3.33	5.0	7.0	3.33	3.0
Career/Technical Education Teachers, Middle School	1.33	4.33	5.33	7.0	2.67	4.33
Secondary School Teachers, Except Special and Career/Technical Education	1.67	2.67	4.67	7.0	4.0	3.0
Career/Technical Education Teachers, Secondary School	3.33	3.67	3.67	7.0	3.67	2.67
Special Education Teachers, Preschool	1.0	2.67	4.0	7.0	1.67	3.33
Special Education Teachers, Kindergarten and Elementary School	1.0	3.0	4.0	7.0	2.0	3.33
Special Education Teachers, Middle School	2.33	3.33	5.0	7.0	3.33	2.67
Special Education Teachers, Secondary School	1.67	4.33	4.0	7.0	3.67	3.33
Adapted Physical Education Specialists	4.0	2.33	2.0	7.0	3.0	2.67
Adult Basic and Secondary Education and Literacy Teachers and Instructors	2.0	2.33	4.67	7.0	4.0	2.67
Self-Enrichment Education Teachers	1.67	2.67	5.33	7.0	4.0	2.0
Tutors	1.33	5.0	3.0	6.67	1.67	3.0
Archivists	3.0	5.33	1.67	3.33	2.33	6.67
Curators	2.33	4.0	4.0	3.33	6.33	5.67
Museum Technicians and Conservators	7.0	3.67	4.0	1.67	3.0	3.67
Librarians	2.33	3.33	2.67	5.33	4.67	7.0
Library Technicians	2.33	1.33	1.67	5.0	3.67	7.0
Audio-Visual and Multimedia Collections Specialists	5.33	3.0	2.0	4.67	2.0	5.33
Farm and Home Management Advisors	5.33	4.33	2.33	7.0	4.67	2.33
Instructional Coordinators	2.0	5.0	4.33	6.67	4.33	3.0
Instructional Designers and Technologists	3.0	4.0	4.0	4.33	5.33	3.33
Teacher Assistants	1.0	2.67	3.67	7.0	3.0	5.33
Art Directors	3.0	1.33	7.0	2.33	6.33	3.0
Craft Artists	5.67	2.0	7.0	1.67	5.33	1.33
Fine Artists, Including Painters, Sculptors, and Illustrators	5.0	2.67	7.0	2.0	3.33	1.0
Multimedia Artists and Animators	3.0	4.0	7.0	1.33	1.67	3.0
Commercial and Industrial Designers	4.0	2.0	6.67	2.0	4.67	1.67
Fashion Designers	4.0	1.67	7.0	2.33	6.0	1.33
Floral Designers	4.33	1.0	6.33	2.33	5.0	2.67
Graphic Designers	4.33	1.67	7.0	2.0	4.33	2.33
Interior Designers	3.0	1.67	6.67	3.0	5.33	1.33
Merchandise Displayers and Window Trimmers	5.0	1.67	6.0	1.67	5.33	2.0
Set and Exhibit Designers	5.0	3.0	7.0	2.0	3.33	2.33
Actors	2.67	1.33	6.67	3.0	4.67	1.67
Producers	1.33	1.0	5.67	3.0	6.67	3.33
Directors- Stage, Motion Pictures, Television, and Radio	2.0	1.67	6.33	3.67	6.67	3.33
Program Directors	1.33	1.67	4.33	2.67	7.0	5.0
Talent Directors	1.67	1.33	5.67	3.33	7.0	3.67
Technical Directors/Managers	4.0	2.0	4.0	1.67	7.0	4.0
Athletes and Sports Competitors	6.33	1.0	1.67	3.0	4.67	2.33
Coaches and Scouts	5.67	1.33	2.0	6.0	5.67	3.33
Umpires, Referees, and Other Sports Officials	6.0	1.67	1.33	3.0	6.0	4.33
Dancers	5.33	1.67	7.0	3.33	3.0	1.0
Choreographers	2.67	1.67	7.0	5.0	4.67	1.67
Music Directors	2.67	2.33	7.0	4.67	5.67	2.0
Music Composers and Arrangers	2.33	2.0	6.67	2.0	3.67	2.67
Singers	1.67	1.0	7.0	2.67	4.33	1.0
Musicians, Instrumental	2.67	1.33	6.67	2.0	4.0	1.0
Radio and Television Announcers	1.0	2.0	5.67	4.67	5.33	2.0
